Giorno,Indice
20190808,-1.931953242
20190809,-2.326177881
20190810,-2.482322401
20190811,-1.99641471
20190812,-1.850842516
20190813,-0.453156623
20190814,0.147676607
20190815,0.260011131
20190816,-0.697605749
20190817,-2.146552209
20190818,0.146589536
20190819,0.225721973
20190820,-2.045394143
20190821,-1.521660811
20190822,-1.159930283
20190823,0.270790128
20190824,0.045062094
20190825,-0.36402775
20190826,-0.438409942
20190827,-0.19011869
20190828,1.400241885
20190829,0.970471975
20190830,-0.820308603
20190831,-0.016606496
20190901,-0.535040826
20190902,-1.321596342
20190903,0.147108225
20190904,1.114827793
20190905,2.326681743
20190906,0.550537399
20190907,-0.472013584
20190908,-1.128527084
20190909,2.135151048
20190910,2.78189177
20190911,2.059257581
20190912,1.138850888
20190913,0.288117247
20190914,0.440237517
20190915,-1.173604164
20190916,-2.061742954
20190917,-2.277305922
20190918,-1.968267002
20190919,-0.520912278
20190920,-0.378237948
20190921,-0.871032728
20190922,-1.439929161
20190923,-1.718546343
20190924,-0.037634523
20190925,-1.220117326
20190926,-0.861847204
20190927,-1.74574009
20190928,-3.055110204
20190929,-2.262975578
20190930,-1.531092458
20191001,-1.743535955
20191002,-0.874072054
20191003,-0.719100947
20191004,-0.335660049
20191005,-0.690231585
20191006,-0.721130788
20191007,-0.30507454
20191008,-0.881521391
20191009,0.135687807
20191010,-2.214585454
20191011,-1.009283716
20191012,-1.117369836
20191013,-0.534900889
20191014,-0.829785311
20191015,-3.35911157
20191016,-3.204354755
20191017,-2.233396259
20191018,-1.371468681
20191019,0.232053103
20191020,-1.532649245
20191021,-1.918141357
20191022,-1.33431009
20191023,-0.273983863
20191024,-1.608318074
20191025,-1.253463024
20191026,-1.314632517
20191027,-1.575868242
20191028,-0.921156388
20191029,0.056872129
20191030,-1.649451041
20191031,-2.45656303
20191101,-4.531482563
20191102,-3.174716315
20191103,-0.8103669
20191104,-3.391924897
20191105,-2.164358179
20191106,-0.787254778
20191107,-2.714868902
20191108,-2.713175293
20191109,-2.415305557
20191110,-2.196062319
20191111,-3.19884231
20191112,1.053639821
20191113,-1.642126442
20191114,-0.978045352
20191115,-0.309168413
20191116,-2.299460788
20191117,-3.323328181
20191118,-3.497343817
20191119,-2.169612495
20191120,-2.034866106
20191121,-3.928410258
20191122,-2.374376088
20191123,-3.265730392
20191124,-4.136189166
20191125,-3.358472874
20191126,-0.832824679
20191127,-1.924266022
20191128,-3.333224544
20191129,-1.160377532
20191130,-2.114505983
20191201,-2.338121886
20191202,-1.700628653
20191203,-2.378424086
20191204,-1.691435634
20191205,-2.425191215
20191206,-1.403018272
20191207,-2.287240797
20191208,-1.391651857
20191209,-1.473144462
20191210,0.008065605
20191211,-1.444388594
20191212,-1.888556311
20191213,-0.373917883
20191214,-2.646086973
20191215,-1.8142254
20191216,-2.665470301
20191217,-0.974138422
20191218,0.161404418
20191219,0.433871184
20191220,1.111271675
20191221,-1.09263064
20191222,-0.843192055
20191223,-1.211043531
20191224,0.490012754
20191225,1.607767795
20191226,0.110656976
20191227,-1.576907012
20191228,-0.483310802
20191229,1.307515446
20191230,1.226758725
20191231,0.710094049
20200101,1.431230909
20200102,-0.297781254
20200103,-0.281020674
20200104,-0.310392893
20200105,1.169017541
20200106,0.408220632
20200107,-1.028626474
20200108,-1.026721206
20200109,-0.321200369
20200110,-2.013818478
20200111,-1.52500887
20200112,-0.659765176
20200113,-0.862095089
20200114,-1.533592383
20200115,-0.390860415
20200116,0.115303914
20200117,-2.199358908
20200118,-0.337121755
20200119,-2.02106817
20200120,-1.883306137
20200121,0.518590726
20200122,-0.991986754
20200123,-0.057090033
20200124,-2.026356677
20200125,-1.876989006
20200126,-1.494400226
20200127,-0.438688095
20200128,-0.344929051
20200129,-0.648936692
20200130,-0.141208558
20200131,-0.192602589
20200201,-1.962576137
20200202,-1.288482633
20200203,-1.660367829
20200204,-1.632398309
20200205,-0.49627778
20200206,-2.103632288
20200207,-1.230440148
20200208,0.658006622
20200209,-0.491188993
20200210,-1.763326425
20200211,-2.138303303
20200212,-0.594991974
20200213,0.828864179
20200214,-0.663030921
20200215,-0.044097201
20200216,-0.294592493
20200217,-2.063970972
20200218,-1.763965541
20200219,-0.17281246
20200220,-1.644072903
20200221,-2.167584066
20200222,-5.12353188
20200223,-4.037675644
20200224,-6.3499298
20200225,-4.89709942
20200226,-4.83530034
20200227,-4.82672006
20200228,-4.682306688
20200229,-5.19461744
20200301,-4.262155844
20200302,-5.63445471
20200303,-3.961377167
20200304,-3.309883763
20200305,-4.779800052
20200306,-4.461685233
20200307,-6.06574121
20200308,-5.00796576
20200309,-6.9600065
20200310,-6.36278123
20200311,-7.26250046
20200312,-6.58699605
20200313,-6.50354491
20200314,-2.738756281
20200315,-5.10860629
20200316,-4.29404153
20200317,-5.39117944
20200318,-4.362402568
20200319,-7.54968383
20200320,-6.43628007
20200321,-5.8855284
20200322,-5.55588962
20200323,-6.04850913
20200324,-4.90110702
20200325,-4.649803994
20200326,-4.619491803
20200327,-4.90781526
20200328,-4.348488273
20200329,-3.95626391
20200330,-2.727862201
20200331,-2.808947371
20200401,-3.567520743
20200402,-4.001983119
20200403,-3.440106058
20200404,-2.732832548
20200405,-3.976928638
20200406,-3.014203501
20200407,-4.201921903
20200408,-3.380737299
20200409,-3.487519198
20200410,-4.483601389
20200411,-2.70925994
20200412,-1.697001193
20200413,1.237758824
20200414,-1.989442879
20200415,-4.021548256
20200416,-3.273040806
20200417,-3.398361523
20200418,-2.338959631
20200419,-1.455854617
20200420,-1.701113862
20200421,-1.524711921
20200422,-1.731104116
20200423,-2.409833973
20200424,-3.178386096
20200425,-2.733483214
20200426,-4.343463194
20200427,-3.947403914
20200428,-2.504383035
20200429,-2.842726796
20200430,-2.883208876
20200501,-2.327933682
20200502,-3.387507868
20200503,-4.010335771
20200504,-2.986315346
20200505,-1.994891517
20200506,-2.314126932
20200507,-3.024446053
20200508,-2.060457525
20200509,-1.747066974
20200510,-2.731970554
20200511,-3.208503574
20200512,-1.401583428
20200513,-3.125767356
20200514,-3.084800924
20200515,-3.150518241
20200516,-2.457524158
20200517,-1.964164968
20200518,-3.477023807
20200519,-3.815564965
20200520,-0.120412526
20200521,-1.148630556
20200522,-1.480706955
20200523,-2.902051608
20200524,-2.343997074
20200525,-2.169622903
20200526,-2.546310807
20200527,-1.858802011
20200528,-2.375196851
20200529,-3.012228604
20200530,-3.148757177
20200531,-1.584872955
20200601,-1.880895788
20200602,-2.093821652
20200603,-1.490203915
20200604,-2.333149081
20200605,-2.310309114
20200606,-1.241415331
20200607,-3.454241276
20200608,-1.8228431
20200609,-1.682008934
20200610,-0.833755237
20200611,-0.205385311
20200612,0.133845571
20200613,-1.095043388
20200614,-0.714649593
20200615,1.473883126
20200616,-0.609759192
20200617,-1.722748693
20200618,0.062255513
20200619,-0.276870526
20200620,-0.62632133
20200621,-1.295612019
20200622,-2.511974427
20200623,-0.14901888
20200624,-1.693044562
20200625,-0.951817552
20200626,-1.64858091
20200627,-1.426796227
20200628,-1.161504265
20200629,-1.378028708
20200630,-1.546151242
20200701,-1.081824573
20200702,-2.291595146
20200703,-2.806559439
20200704,-2.128732057
20200705,-1.814039492
20200706,-1.192157072
20200707,-1.840913472
20200708,-0.329027787
20200709,-0.068427413
20200710,-1.561265987
20200711,-1.037503977
20200712,-4.77233909
20200713,-0.569216709
20200714,-1.212320476
20200715,-2.491946759
20200716,-1.893741558
